,,,,,,
,Date,NAV,Daily ROI%,Daily P&L,Drawdown,Log Return
,2021-01-01,"$751,486.62",0.20%,"$1,486.62",0.00%,0.0020
,2021-01-04,"$749,852.08",-0.22%,"-$1,634.54",-0.22%,-0.0022
,2021-01-05,"$747,415.21",-0.32%,"-$2,436.87",-0.54%,-0.0033
,2021-01-06,"$749,146.03",0.23%,"$1,730.82",-0.31%,0.0023
,2021-01-07,"$751,119.53",0.26%,"$1,973.50",-0.05%,0.0026
,2021-01-08,"$750,256.82",-0.11%,-$862.71,-0.16%,-0.0011
,2021-01-11,"$748,316.56",-0.26%,"-$1,940.26",-0.42%,-0.0026
,2021-01-12,"$748,892.32",0.08%,$575.76,-0.35%,0.0008
,2021-01-13,"$750,535.60",0.22%,"$1,643.28",-0.13%,0.0022
,2021-01-14,"$753,296.84",0.37%,"$2,761.25",0.00%,0.0037
,2021-01-15,"$754,414.87",0.15%,"$1,118.03",0.00%,0.0015
,2021-01-18,"$754,386.96",0.00%,-$27.91,0.00%,0.0000
,2021-01-19,"$753,685.26",-0.09%,-$701.71,-0.10%,-0.0009
,2021-01-20,"$754,152.07",0.06%,$466.81,-0.03%,0.0006
,2021-01-21,"$754,217.77",0.01%,$65.70,-0.03%,0.0001
,2021-01-22,"$753,358.68",-0.11%,-$859.09,-0.14%,-0.0011
,2021-01-25,"$756,454.44",0.41%,"$3,095.76",0.00%,0.0041
,2021-01-26,"$759,221.36",0.37%,"$2,766.92",0.00%,0.0037
,2021-01-27,"$761,154.19",0.25%,"$1,932.83",0.00%,0.0025
,2021-01-28,"$760,410.04",-0.10%,-$744.15,-0.10%,-0.0010
,2021-01-29,"$761,979.84",0.21%,"$1,569.79",0.00%,0.0021
,2021-02-01,"$763,271.73",0.17%,"$1,291.89",0.00%,0.0017
,2021-02-02,"$764,308.13",0.14%,"$1,036.40",0.00%,0.0014
,2021-02-03,"$766,402.66",0.27%,"$2,094.53",0.00%,0.0027
,2021-02-04,"$767,696.46",0.17%,"$1,293.80",0.00%,0.0017
,2021-02-05,"$769,130.06",0.19%,"$1,433.60",0.00%,0.0019
,2021-02-08,"$770,430.49",0.17%,"$1,300.43",0.00%,0.0017
,2021-02-09,"$771,342.32",0.12%,$911.83,0.00%,0.0012
,2021-02-10,"$769,448.24",-0.25%,"-$1,894.08",-0.25%,-0.0025
,2021-02-11,"$770,019.95",0.07%,$571.70,-0.17%,0.0007
,2021-02-12,"$769,748.13",-0.04%,-$271.81,-0.21%,-0.0004
,2021-02-15,"$768,522.23",-0.16%,"-$1,225.90",-0.37%,-0.0016
,2021-02-16,"$771,197.23",0.35%,"$2,675.00",-0.02%,0.0035
,2021-02-17,"$773,943.87",0.36%,"$2,746.64",0.00%,0.0036
,2021-02-18,"$776,210.05",0.29%,"$2,266.19",0.00%,0.0029
,2021-02-19,"$777,014.93",0.10%,$804.88,0.00%,0.0010
,2021-02-22,"$779,278.67",0.29%,"$2,263.74",0.00%,0.0029
,2021-02-23,"$779,762.14",0.06%,$483.47,0.00%,0.0006
,2021-02-24,"$780,500.69",0.09%,$738.55,0.00%,0.0009
,2021-02-25,"$779,506.84",-0.13%,-$993.85,-0.13%,-0.0013
,2021-02-26,"$780,504.46",0.13%,$997.62,0.00%,0.0013
,2021-03-01,"$781,053.31",0.07%,$548.85,0.00%,0.0007
,2021-03-02,"$779,778.88",-0.16%,"-$1,274.43",-0.16%,-0.0016
,2021-03-03,"$780,178.17",0.05%,$399.29,-0.11%,0.0005
,2021-03-04,"$780,539.54",0.05%,$361.37,-0.07%,0.0005
,2021-03-05,"$783,411.13",0.37%,"$2,871.59",0.00%,0.0037
,2021-03-08,"$785,081.00",0.21%,"$1,669.88",0.00%,0.0021
,2021-03-09,"$785,567.25",0.06%,$486.25,0.00%,0.0006
,2021-03-10,"$786,373.19",0.10%,$805.94,0.00%,0.0010
,2021-03-11,"$786,904.38",0.07%,$531.19,0.00%,0.0007
,2021-03-12,"$787,102.82",0.03%,$198.43,0.00%,0.0003
,2021-03-15,"$786,115.45",-0.13%,-$987.37,-0.13%,-0.0013
,2021-03-16,"$786,383.52",0.03%,$268.07,-0.09%,0.0003
,2021-03-17,"$785,850.11",-0.07%,-$533.41,-0.16%,-0.0007
,2021-03-18,"$784,638.31",-0.15%,"-$1,211.80",-0.31%,-0.0015
,2021-03-19,"$785,796.03",0.15%,"$1,157.72",-0.17%,0.0015
,2021-03-22,"$786,793.99",0.13%,$997.96,-0.04%,0.0013
,2021-03-23,"$784,857.79",-0.25%,"-$1,936.19",-0.29%,-0.0025
,2021-03-24,"$785,163.57",0.04%,$305.78,-0.25%,0.0004
,2021-03-25,"$786,973.68",0.23%,"$1,810.11",-0.02%,0.0023
,2021-03-26,"$788,873.60",0.24%,"$1,899.92",0.00%,0.0024
,2021-03-29,"$790,732.99",0.24%,"$1,859.39",0.00%,0.0024
,2021-03-30,"$791,259.95",0.07%,$526.96,0.00%,0.0007
,2021-03-31,"$790,589.12",-0.08%,-$670.83,-0.08%,-0.0008
,2021-04-01,"$789,595.65",-0.13%,-$993.46,-0.21%,-0.0013
,2021-04-02,"$790,535.32",0.12%,$939.67,-0.09%,0.0012
,2021-04-05,"$791,523.07",0.12%,$987.75,0.00%,0.0012
,2021-04-06,"$793,743.26",0.28%,"$2,220.19",0.00%,0.0028
,2021-04-07,"$795,714.93",0.25%,"$1,971.68",0.00%,0.0025
,2021-04-08,"$796,011.93",0.04%,$297.00,0.00%,0.0004
,2021-04-09,"$794,792.79",-0.15%,"-$1,219.14",-0.15%,-0.0015
,2021-04-12,"$794,835.02",0.01%,$42.23,-0.15%,0.0001
,2021-04-13,"$795,607.50",0.10%,$772.48,-0.05%,0.0010
,2021-04-14,"$795,809.26",0.03%,$201.76,-0.03%,0.0003
,2021-04-15,"$795,498.76",-0.04%,-$310.50,-0.06%,-0.0004
,2021-04-16,"$796,320.47",0.10%,$821.71,0.00%,0.0010
,2021-04-19,"$796,110.63",-0.03%,-$209.84,-0.03%,-0.0003
,2021-04-20,"$795,731.59",-0.05%,-$379.04,-0.07%,-0.0005
,2021-04-21,"$796,633.37",0.11%,$901.78,0.00%,0.0011
,2021-04-22,"$796,562.59",-0.01%,-$70.78,-0.01%,-0.0001
,2021-04-23,"$797,373.42",0.10%,$810.83,0.00%,0.0010
,2021-04-26,"$798,224.82",0.11%,$851.40,0.00%,0.0011
,2021-04-27,"$797,145.56",-0.14%,"-$1,079.26",-0.14%,-0.0014
,2021-04-28,"$796,966.51",-0.02%,-$179.04,-0.16%,-0.0002
,2021-04-29,"$799,407.36",0.31%,"$2,440.84",0.00%,0.0031
,2021-04-30,"$798,295.48",-0.14%,"-$1,111.88",-0.14%,-0.0014
,2021-05-03,"$795,879.79",-0.30%,"-$2,415.69",-0.44%,-0.0030
