,,,,,,
,Date,NAV,Daily ROI%,Daily P&L,Drawdown,Log Return
,2026-01-01,"$9,994,084.29",-0.06%,"-$5,915.71",0.00%,-0.0006
,2026-01-02,"$10,004,272.89",0.10%,"$10,188.60",0.00%,0.0010
,2026-01-05,"$10,012,239.07",0.08%,"$7,966.18",0.00%,0.0008
,2026-01-06,"$10,021,845.43",0.10%,"$9,606.36",0.00%,0.0010
,2026-01-07,"$10,011,618.41",-0.10%,"-$10,227.02",-0.10%,-0.0010
,2026-01-08,"$10,013,104.84",0.01%,"$1,486.43",-0.09%,0.0001
,2026-01-09,"$10,034,617.71",0.21%,"$21,512.87",0.00%,0.0021
,2026-01-12,"$10,036,241.22",0.02%,"$1,623.51",0.00%,0.0002
,2026-01-13,"$10,042,880.60",0.07%,"$6,639.38",0.00%,0.0007
,2026-01-14,"$10,023,727.97",-0.19%,"-$19,152.64",-0.19%,-0.0019
,2026-01-15,"$10,013,704.54",-0.10%,"-$10,023.43",-0.29%,-0.0010
,2026-01-16,"$10,006,242.24",-0.07%,"-$7,462.29",-0.36%,-0.0007
,2026-01-19,"$9,999,604.64",-0.07%,"-$6,637.60",-0.43%,-0.0007
,2026-01-20,"$10,036,063.28",0.36%,"$36,458.63",-0.07%,0.0036
,2026-01-21,"$10,013,484.00",-0.22%,"-$22,579.28",-0.29%,-0.0023
,2026-01-22,"$10,025,729.15",0.12%,"$12,245.15",-0.17%,0.0012
,2026-01-23,"$10,043,961.62",0.18%,"$18,232.47",0.00%,0.0018
,2026-01-26,"$10,116,833.04",0.73%,"$72,871.41",0.00%,0.0072
,2026-01-27,"$10,219,947.57",1.02%,"$103,114.53",0.00%,0.0101
,2026-01-28,"$10,181,865.97",-0.37%,"-$38,081.60",-0.37%,-0.0037
,2026-01-29,"$10,153,115.63",-0.28%,"-$28,750.34",-0.65%,-0.0028
,2026-01-30,"$10,191,779.75",0.38%,"$38,664.12",-0.28%,0.0038
,2026-02-02,"$10,230,343.59",0.38%,"$38,563.84",0.00%,0.0038
,2026-02-03,"$10,189,460.20",-0.40%,"-$40,883.39",-0.40%,-0.0040
,2026-02-04,"$10,212,224.97",0.22%,"$22,764.77",-0.18%,0.0022
,2026-02-05,"$10,222,080.20",0.10%,"$9,855.23",-0.08%,0.0010
,2026-02-06,"$10,246,827.23",0.24%,"$24,747.02",0.00%,0.0024
,2026-02-09,"$10,271,106.19",0.24%,"$24,278.97",0.00%,0.0024
,2026-02-10,"$10,287,962.99",0.16%,"$16,856.79",0.00%,0.0016
,2026-02-11,"$10,288,741.59",0.01%,$778.61,0.00%,0.0001
,2026-02-12,"$10,266,332.25",-0.22%,"-$22,409.34",-0.22%,-0.0022
,2026-02-13,"$10,263,962.35",-0.02%,"-$2,369.90",-0.24%,-0.0002
,2026-02-16,"$10,264,365.26",0.00%,$402.91,-0.24%,0.0000
,2026-02-17,"$10,271,230.12",0.07%,"$6,864.86",-0.17%,0.0007
,2026-02-18,"$10,287,609.15",0.16%,"$16,379.03",-0.01%,0.0016
,2026-02-19,"$10,297,586.34",0.10%,"$9,977.19",0.00%,0.0010
,2026-02-20,"$10,296,028.21",-0.02%,"-$1,558.14",-0.02%,-0.0002
,2026-02-23,"$10,284,815.69",-0.11%,"-$11,212.52",-0.12%,-0.0011
,2026-02-24,"$10,266,838.58",-0.17%,"-$17,977.11",-0.30%,-0.0017
,2026-02-25,"$10,269,164.47",0.02%,"$2,325.89",-0.28%,0.0002
,2026-02-26,"$10,266,975.52",-0.02%,"-$2,188.95",-0.30%,-0.0002
,2026-02-27,"$10,268,340.57",0.01%,"$1,365.05",-0.28%,0.0001
,2026-03-02,"$10,250,995.36",-0.17%,"-$17,345.21",-0.45%,-0.0017
,2026-03-03,"$10,293,292.35",0.41%,"$42,296.99",-0.04%,0.0041
,2026-03-04,"$10,275,191.56",-0.18%,"-$18,100.78",-0.22%,-0.0018
,2026-03-05,"$10,287,940.42",0.12%,"$12,748.86",-0.09%,0.0012
,2026-03-06,"$10,294,239.06",0.06%,"$6,298.64",-0.03%,0.0006
,2026-03-09,"$10,263,183.86",-0.30%,"-$31,055.20",-0.33%,-0.0030
,2026-03-10,"$10,290,101.17",0.26%,"$26,917.31",-0.07%,0.0026
,2026-03-11,"$10,295,805.91",0.06%,"$5,704.75",-0.02%,0.0006
,2026-03-12,"$10,330,632.03",0.34%,"$34,826.12",0.00%,0.0034
,2026-03-13,"$10,403,992.29",0.71%,"$73,360.26",0.00%,0.0071
,2026-03-16,"$10,393,599.22",-0.10%,"-$10,393.07",-0.10%,-0.0010
,2026-03-17,"$10,370,294.48",-0.22%,"-$23,304.74",-0.32%,-0.0022
,2026-03-18,"$10,377,775.92",0.07%,"$7,481.44",-0.25%,0.0007
,2026-03-19,"$10,378,250.33",0.00%,$474.42,-0.25%,0.0000
,2026-03-20,"$10,368,456.31",-0.09%,"-$9,794.02",-0.34%,-0.0009
,2026-03-23,"$10,359,954.23",-0.08%,"-$8,502.08",-0.42%,-0.0008
,2026-03-24,"$10,365,859.48",0.06%,"$5,905.24",-0.37%,0.0006
,2026-03-25,"$10,353,840.66",-0.12%,"-$12,018.81",-0.48%,-0.0012
,2026-03-26,"$10,375,085.61",0.21%,"$21,244.95",-0.28%,0.0020
,2026-03-27,"$10,378,270.81",0.03%,"$3,185.20",-0.25%,0.0003
,2026-03-30,"$10,376,289.22",-0.02%,"-$1,981.59",-0.27%,-0.0002
,2026-03-31,"$10,378,216.85",0.02%,"$1,927.64",-0.25%,0.0002
,2026-04-01,"$10,377,481.99",-0.01%,-$734.86,-0.25%,-0.0001
,2026-04-02,"$10,396,056.69",0.18%,"$18,574.70",-0.08%,0.0018
,2026-04-03,"$10,407,509.39",0.11%,"$11,452.70",0.00%,0.0011
,2026-04-06,"$10,375,772.86",-0.30%,"-$31,736.53",-0.30%,-0.0031
,2026-04-07,"$10,393,646.30",0.17%,"$17,873.44",-0.13%,0.0017
,2026-04-08,"$10,460,734.96",0.65%,"$67,088.66",0.00%,0.0064
,2026-04-09,"$10,467,177.07",0.06%,"$6,442.12",0.00%,0.0006
,2026-04-10,"$10,472,616.06",0.05%,"$5,438.99",0.00%,0.0005
,2026-04-13,"$10,499,248.38",0.25%,"$26,632.31",0.00%,0.0025
,2026-04-14,"$10,539,753.40",0.39%,"$40,505.02",0.00%,0.0039
,2026-04-15,"$10,521,638.23",-0.17%,"-$18,115.16",-0.17%,-0.0017
,2026-04-16,"$10,519,369.91",-0.02%,"-$2,268.32",-0.19%,-0.0002
,2026-04-17,"$10,489,110.74",-0.29%,"-$30,259.17",-0.48%,-0.0029
,2026-04-20,"$10,457,078.64",-0.31%,"-$32,032.10",-0.78%,-0.0031
,2026-04-21,"$10,465,381.14",0.08%,"$8,302.50",-0.71%,0.0008
,2026-04-22,"$10,482,559.62",0.16%,"$17,178.48",-0.54%,0.0016
,2026-04-23,"$10,489,224.30",0.06%,"$6,664.68",-0.48%,0.0006
,2026-04-24,"$10,477,801.03",-0.11%,"-$11,423.27",-0.59%,-0.0011
,2026-04-27,"$10,466,843.19",-0.10%,"-$10,957.84",-0.69%,-0.0010
,2026-04-28,"$10,467,336.81",0.00%,$493.61,-0.69%,0.0000
,2026-04-29,"$10,463,258.62",-0.04%,"-$4,078.19",-0.73%,-0.0004
,2026-04-30,"$10,459,309.54",-0.04%,"-$3,949.07",-0.76%,-0.0004
,2026-05-01,"$10,457,176.97",-0.02%,"-$2,132.57",-0.78%,-0.0002
,2026-05-04,"$10,461,971.49",0.05%,"$4,794.52",-0.74%,0.0005
,2026-05-05,"$10,449,792.12",-0.12%,"-$12,179.37",-0.85%,-0.0012
,2026-05-06,"$10,494,962.94",0.43%,"$45,170.82",-0.42%,0.0043
,2026-05-07,"$10,486,244.15",-0.08%,"-$8,718.79",-0.51%,-0.0008
,2026-05-08,"$10,495,271.75",0.09%,"$9,027.60",-0.42%,0.0009
,2026-05-11,"$10,484,081.68",-0.11%,"-$11,190.07",-0.53%,-0.0011
,2026-05-12,"$10,495,852.99",0.11%,"$11,771.31",-0.42%,0.0011
,2026-05-13,"$10,495,679.01",0.00%,-$173.97,-0.42%,0.0000
,2026-05-14,"$10,497,529.81",0.02%,"$1,850.80",-0.40%,0.0002
,2026-05-15,"$10,503,148.10",0.05%,"$5,618.28",-0.35%,0.0005
,2026-05-18,"$10,509,521.95",0.06%,"$6,373.85",-0.29%,0.0006
,2026-05-19,"$10,522,467.64",0.12%,"$12,945.69",-0.16%,0.0012
,2026-05-20,"$10,512,714.61",-0.09%,"-$9,753.03",-0.26%,-0.0009
,2026-05-21,"$10,509,862.69",-0.03%,"-$2,851.92",-0.28%,-0.0003
,2026-05-22,"$10,519,934.30",0.10%,"$10,071.61",-0.19%,0.0010
,2026-05-25,"$10,508,980.71",-0.10%,"-$10,953.59",-0.29%,-0.0010
,2026-05-26,"$10,516,034.19",0.07%,"$7,053.48",-0.23%,0.0007
,2026-05-27,"$10,502,883.16",-0.13%,"-$13,151.03",-0.35%,-0.0013
,2026-05-28,"$10,500,336.08",-0.02%,"-$2,547.08",-0.37%,-0.0002
,2026-05-29,"$10,502,735.97",0.02%,"$2,399.89",-0.35%,0.0002
,2026-06-01,"$10,502,494.71",0.00%,-$241.26,-0.35%,0.0000
,2026-06-02,"$10,501,934.01",-0.01%,-$560.70,-0.36%,-0.0001
,2026-06-03,"$10,509,936.25",0.08%,"$8,002.24",-0.28%,0.0008
,2026-06-04,"$10,516,266.80",0.06%,"$6,330.55",-0.22%,0.0006
,2026-06-05,"$10,538,090.58",0.21%,"$21,823.78",-0.02%,0.0021
,2026-06-08,"$10,539,440.18",0.01%,"$1,349.60",0.00%,0.0001
,2026-06-09,"$10,536,550.01",-0.03%,"-$2,890.17",-0.03%,-0.0003
,2026-06-10,"$10,524,521.07",-0.11%,"-$12,028.94",-0.14%,-0.0011
,2026-06-11,"$10,528,584.26",0.04%,"$4,063.19",-0.11%,0.0004
,2026-06-12,"$10,533,205.78",0.04%,"$4,621.52",-0.06%,0.0004
,2026-06-15,"$10,516,669.33",-0.16%,"-$16,536.45",-0.22%,-0.0016
,2026-06-16,"$10,509,542.66",-0.07%,"-$7,126.67",-0.29%,-0.0007
,2026-06-17,"$10,523,865.04",0.14%,"$14,322.38",-0.15%,0.0014
,2026-06-18,"$10,548,821.00",0.24%,"$24,955.96",0.00%,0.0024
,2026-06-19,"$10,552,880.10",0.04%,"$4,059.10",0.00%,0.0004
,2026-06-22,"$10,557,746.94",0.05%,"$4,866.84",0.00%,0.0005
,2026-06-23,"$10,582,166.87",0.23%,"$24,419.92",0.00%,0.0023
,2026-06-24,"$10,583,137.61",0.01%,$970.74,0.00%,0.0001
,2026-06-25,"$10,580,311.07",-0.03%,"-$2,826.54",-0.03%,-0.0003
,2026-06-26,"$10,571,273.86",-0.09%,"-$9,037.21",-0.11%,-0.0009
,2026-06-29,"$10,570,822.36",0.00%,-$451.50,-0.12%,0.0000
,2026-06-30,"$10,586,308.52",0.15%,"$15,486.16",0.00%,0.0015
,2026-07-01,"$10,590,131.41",0.04%,"$3,822.89",0.00%,0.0004
,2026-07-02,"$10,561,917.20",-0.27%,"-$28,214.20",-0.27%,-0.0027
,2026-07-03,"$10,562,514.69",0.01%,$597.49,-0.26%,0.0001
,2026-07-06,"$10,545,791.60",-0.16%,"-$16,723.09",-0.42%,-0.0016
,2026-07-07,"$10,548,466.88",0.03%,"$2,675.29",-0.39%,0.0003
,2026-07-08,"$10,555,542.83",0.07%,"$7,075.95",-0.33%,0.0007
,2026-07-09,"$10,561,102.95",0.05%,"$5,560.12",-0.27%,0.0005
,2026-07-10,"$10,560,567.81",-0.01%,-$535.14,-0.28%,-0.0001
,2026-07-13,"$10,568,826.35",0.08%,"$8,258.54",-0.20%,0.0008
,2026-07-14,"$10,560,890.91",-0.08%,"-$7,935.44",-0.28%,-0.0008
,2026-07-15,"$10,581,222.12",0.19%,"$20,331.21",-0.08%,0.0019
,2026-07-16,"$10,576,023.06",-0.05%,"-$5,199.06",-0.13%,-0.0005
,2026-07-17,"$10,589,603.96",0.13%,"$13,580.90",0.00%,0.0013
,2026-07-20,"$10,586,147.66",-0.03%,"-$3,456.30",-0.04%,-0.0003
