,unlevered_ret,static_ret,static_equity,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,dyn_drawdown
2021-01-01,0.001982160000000066,0.05946480000000198,794598.6000000015,30.0,0.05946480000000198,794598.6000000015,794598.6000000015,22500000.0,22500000.0,False,0.0
2021-01-04,-0.0021750753193716665,-0.06525225958115,742749.245889983,30.0,-0.06525225958115,742749.245889983,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.06525225958115
2021-01-05,-0.0032498009474082323,-0.09749402842224697,670335.6298005825,32.094220400637006,-0.10429982786431877,665280.6273973052,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.16274628800339697
2021-01-06,0.002315740938694688,0.06947222816084064,716905.3396184294,35.83143265911459,0.08297631550079353,720483.1626327898,794598.6000000015,23837958.000000045,23837958.00000005,False,-0.09327405984255643
2021-01-07,0.0026343328549709444,0.07902998564912833,773562.3583202574,33.086072286396494,0.08715972726599791,783280.2785876073,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.014244074193428213
2021-01-08,-0.001148565528578449,-0.03445696585735347,746907.7465510825,30.4334969890779,-0.03495486555575089,755900.8217571063,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.048701040050781685
2021-01-11,-0.0025861277742198485,-0.07758383322659546,688959.780507011,31.535827603134816,-0.0815556796474759,694252.81649262,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.12628487327737714
2021-01-12,0.0007694070006949438,0.023082210020848315,704862.4948565913,34.336134378870675,0.026418462167905433,712593.908260092,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.10320266325652894
2021-01-13,0.002194280747865207,0.06582842243595621,751262.480927273,33.45237409930166,0.07340390045648232,764901.0805679115,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.037374240820572724
2021-01-14,0.0036790260182195667,0.110370780546587,834179.9073425817,31.16475921605604,0.11465596000741819,852601.5482711369,852601.5482711369,23837958.000000045,23837958.000000045,False,0.0
2021-01-15,0.0014841825169478184,0.04452547550843455,871322.164376592,30.0,0.04452547550843455,890564.0376271368,890564.0376271368,25578046.44813411,25578046.44813411,False,0.0
2021-01-18,-3.6995559220653895e-05,-0.0011098667766196169,870355.1128546182,30.0,-0.0011098667766196169,889575.6301893222,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.0011098667766197279
2021-01-19,-0.000930159238171302,-0.02790477714513906,846068.0473932778,30.033332998486177,-0.027935782141616926,864724.6391858617,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.029014643921758676
2021-01-20,0.0006193699476091385,0.018581098428274156,861788.92105891,30.89644948011206,0.019136332295805403,881272.2972256928,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.01043354549348452
2021-01-21,8.711770823621734e-05,0.00261353124708652,864041.2333324903,30.31630656372707,0.0026410871500184958,883599.8141655627,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.00782001424639811
