,unlevered_ret,static_ret,static_equity,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,dyn_drawdown
2026-01-01,-0.0005915710000000685,-0.020704985000002396,9792950.149999976,35.0,-0.020704985000002396,9792950.149999976,10000000.0,350000000.0,350000000.0,False,0.0
2026-01-02,0.0010194630847966124,0.035681207967881434,10142374.44092122,35.7399960827944,0.03643560665718442,10149762.229678791,10149762.229678791,350000000.0,349999999.99999994,False,0.0
2026-01-05,0.0007962777592724901,0.027869721574537154,10425039.592694396,35.0,0.027869721574537154,10432633.277067693,10432633.277067693,355241678.0387577,355241678.0387577,False,0.0
2026-01-06,0.0009594617080992407,0.033581159783473424,10775124.513005702,35.0,0.033581159783473424,10782973.202107284,10782973.202107284,365142164.6973693,365142164.6973693,False,0.0
2026-01-07,-0.0010204727334334196,-0.035716545670169686,10390274.28623517,35.0,-0.035716545670169686,10397842.647274004,10782973.202107284,377404062.07375497,377404062.07375497,False,-0.035716545670169575
2026-01-08,0.00014847050088473424,0.005196467530965698,10444267.00920142,36.29638136259917,0.005388941921208431,10453876.01740603,10782973.202107284,377404062.07375497,377404062.07375497,False,-0.030520078139203766
2026-01-09,0.0021484714625239487,0.0751965011883382,11229639.345770158,36.10183069374129,0.07756375299037434,11264717.87461211,11264717.87461211,377404062.07375497,377404062.07375497,False,0.0
2026-01-12,0.00016179091689583203,0.005662682091354121,11293229.223385815,35.0,0.005662682091354121,11328506.390784832,11328506.390784832,394265125.61142385,394265125.61142385,False,0.0
2026-01-13,0.0006615404965324423,0.02315391737863548,11554711.719762081,35.0,0.02315391737863548,11590805.691780407,11590805.691780407,396497723.67746913,396497723.67746913,False,0.0
2026-01-14,-0.0019070853037921331,-0.06674798563272466,10783457.987901127,35.0,-0.06674798563272466,10817142.759993745,11590805.691780407,405678199.21231425,405678199.21231425,False,-0.06674798563272466
2026-01-15,-0.0009999702735350446,-0.03499895957372656,10406048.177717594,37.503267564580874,-0.0375021527250119,10411476.620160203,11590805.691780407,405678199.21231425,405678199.21231425,False,-0.10174694520645122
2026-01-16,-0.000745208725720925,-0.026082305400232375,10134634.451136833,38.96452098127768,-0.029036701028784185,10109161.686272435,11590805.691780407,405678199.21231425,405678199.21231425,False,-0.1278292506066836
2026-01-19,-0.000663345923554215,-0.023217107324397523,9899337.555391252,40.129756729798686,-0.02661991053993428,9840056.70655013,11590805.691780407,405678199.21231425,405678199.21231425,False,-0.15104635793108123
2026-01-20,0.0036460081485780726,0.12761028520023254,11162594.844128102,41.227221682804995,0.1503147861987416,11319162.726578707,11590805.691780407,405678199.21231425,405678199.21231425,False,-0.02343607273084869
2026-01-21,-0.0022498144312218527,-0.07874350509276484,10283613.00017103,35.83994761907034,-0.08063323136761973,10406462.05955875,11590805.691780407,405678199.21231425,405678199.21231425,False,-0.10217957782361342
2026-01-22,0.0012228660873678798,0.042800313057875794,10723754.855944391,38.983296810243274,0.047671351643042946,10902552.17175996,11590805.691780407,405678199.21231425,405678199.21231425,False,-0.05937926476573763
2026-01-23,0.0018185679791677956,0.06364987927087284,11406320.55785569,37.209471032214935,0.06766795254095774,11640305.554693928,11640305.554693928,405678199.21231425,405678199.21231425,False,0.0
2026-01-26,0.007255246759893419,0.25393363659626966,14302769.017294776,35.0,0.25393363659626966,14596170.675289115,14596170.675289115,407410694.4142875,407410694.4142875,False,0.0
2026-01-27,0.010192372414599138,0.3567330345109698,19405039.210743826,35.0,0.3567330345109698,19803106.93252503,19803106.93252503,510865973.635119,510865973.635119,False,0.0
2026-01-28,-0.003726203068965428,-0.13041710741378998,16874290.12762744,35.0,-0.13041710741378998,17220443.008579146,19803106.93252503,693108742.6383761,693108742.6383761,False,-0.13041710741378998
2026-01-29,-0.0028236808542472236,-0.09882882989865283,15206623.778943632,40.24918187604538,-0.11365084426250367,15263325.122079797,19803106.93252503,693108742.6383761,693108742.6383761,False,-0.2292459373124428
2026-01-30,0.0038081039760600177,0.13328363916210062,17233417.935570173,45.41007526831299,0.17292628818244737,17902755.280762956,19803106.93252503,693108742.6383761,693108742.6383761,False,-0.09596229815034218
2026-02-02,0.0037838180323706005,0.13243363113297102,19515702.0496098,38.715199519212675,0.14649127006762253,20525352.63955176,20525352.63955176,693108742.6383761,693108742.6383761,False,0.0
2026-02-03,-0.0039962870885356105,-0.13987004809874637,16786039.865250073,35.0,-0.13987004809874637,17654470.578613922,20525352.63955176,718387342.3843116,718387342.3843116,False,-0.13987004809874648
2026-02-04,0.0022341487726702525,0.07819520704345884,18098627.727953058,40.69152564985685,0.09091092208870778,19259454.777903676,20525352.63955176,718387342.3843116,718387342.3843116,False,-0.061674841055287644
2026-02-05,0.0009650423907572314,0.0337764836765031,18709935.73197337,37.30050256710878,0.035996566173808905,19952729.016287964,20525352.63955176,718387342.3843116,718387342.3843116,False,-0.027898357378784655
2026-02-06,0.0024209387439555474,0.08473285603844416,20295282.02283921,36.00446544419423,0.08716460534925849,21691900.766633403,21691900.766633403,718387342.3843116,718387342.3843116,False,0.0
2026-02-09,0.0023694124488520263,0.08292943570982092,21978358.308564942,35.0,0.08292943570982092,23490797.856683742,23490797.856683742,759216526.832169,759216526.832169,False,0.0
2026-02-10,0.0016411864202525717,0.05744152470884001,23240828.720406115,35.0,0.05744152470884001,24840145.102198806,24840145.102198806,822177924.983931,822177924.983931,False,0.0
2026-02-11,7.568067660779221e-05,0.0026488236812727273,23302389.577893127,35.0,0.0026488236812727273,24905942.26679176,24905942.26679176,869405078.5769582,869405078.5769582,False,0.0
2026-02-12,-0.002178044788468614,-0.07623156759640148,21526011.891628288,35.0,-0.07623156759640148,23007323.24532875,24905942.26679176,871707979.3377116,871707979.3377116,False,-0.0762315675964016
2026-02-13,-0.0002308419348108215,-0.008079467718378752,21352093.17344444,37.88828322367736,-0.008746204606014071,22806096.488788404,24905942.26679176,871707979.3377116,871707979.3377115,False,-0.08431103531478024
2026-02-16,3.925482053235285e-05,0.0013739187186323498,21381429.213937417,38.22258577947558,0.0015004207450557761,22840315.229073923,24905942.26679176,871707979.3377116,871707979.3377116,False,-0.082937116596148
2026-02-17,0.0006688051161576336,0.023408179065517176,21881929.53765394,38.16532173899667,0.025525162438843126,23423317.985450417,24905942.26679176,871707979.3377116,871707979.3377117,False,-0.05952893753063082
2026-02-18,0.0015946512548783431,0.05581279392074201,23103221.16152722,37.21539279273671,0.05934557281772804,24813388.208588764,24905942.26679176,871707979.3377116,871707979.3377116,False,-0.003716143609888811
2026-02-19,0.0009698259191737169,0.03394390717108009,23887434.755987033,35.130550169524355,0.034070518109237335,25658793.200901024,25658793.200901024,871707979.3377116,871707979.3377117,False,0.0
2026-02-20,-0.00015131021470016215,-0.005295857514505675,23760930.305132274,35.0,-0.005295857514505675,25522907.888114884,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.005295857514505675
2026-02-23,-0.0010890141102285478,-0.03811549385799917,22855270.71202666,35.1863418529097,-0.03831842276514397,24544910.313462272,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.04341135137250485
2026-02-24,-0.0017479272883303976,-0.061177455091563915,21457043.414436113,36.58834970519218,-0.06395377488468086,22975170.644710425,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.10458880646406865
2026-02-25,0.00022654393383869653,0.007929037684354379,21627177.12026401,39.088186804753754,0.008855191605370745,23178620.182935424,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.09665976877971438
2026-02-26,-0.0002131575559429777,-0.007460514458004219,21465827.252672456,38.74509159491316,-0.008258809029158497,22987192.38528516,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.1041202832377186
2026-02-27,0.0001329554158711055,0.004653439555488692,21565717.18230133,39.06774463707066,0.005194268235367881,23106594.028512336,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.09946684368223002
2026-03-02,-0.0016891930961733248,-0.05912175836606637,20290714.06205839,38.865864909530984,-0.06565195068198482,21589601.0569238,25658793.200901024,898057762.0315359,898057762.0315357,False,-0.1585886020482964
2026-03-03,0.004126134927837866,0.1444147224743253,23220991.90213644,41.596774283308406,0.1716339032557467,25295108.556058027,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.014173879573970982
2026-03-04,-0.0017585034393781118,-0.061547620378233914,21791795.107737705,35.50321834125738,-0.06243253156209316,23715870.89276536,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.0757214999522049
2026-03-05,0.0012407418319702046,0.04342596411895716,22738124.82017399,37.86737438790378,0.04698363546994934,24830128.72564343,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.032295535833247846
2026-03-06,0.0006122352718680446,0.02142823451538156,23225362.691260695,36.16806710728255,0.022143366398368815,25379951.363734014,25658793.200901024,898057762.0315359,898057762.0315357,False,-0.010867301317866285
2026-03-09,-0.003016755276324501,-0.10558643467135753,20773079.450741313,35.38453439728773,-0.10674648084330356,22670730.871681206,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.11645373598922382
2026-03-10,0.0026227056210996746,0.09179469673848861,22679937.97924664,39.61309263096281,0.10389348071236826,25026072.01223351,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.024659039250735093
2026-03-11,0.000554391050753944,0.01940368677638804,23120012.391903847,35.88488683292119,0.01989426011748955,25523947.19856391,25658793.200901024,898057762.0315359,898057762.0315359,False,-0.0052553524743469415
2026-03-12,0.003382554052050901,0.11838939182178154,25857176.5978934,35.184909099093595,0.11901485684418166,28561676.120499443,28561676.120499443,898057762.0315359,898057762.0315359,False,0.0
2026-03-13,0.0071012363800164735,0.24854327330057657,32283803.907844894,35.0,0.24854327330057657,35660488.59443929,35660488.59443929,999658664.2174805,999658664.2174805,False,0.0
2026-03-16,-0.0009989501828051583,-0.03496325639818054,31155056.994306326,35.0,-0.03496325639818054,34413681.78842752,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.03496325639818054
2026-03-17,-0.0022422203807085372,-0.0784777133247988,28710079.36288939,36.26804909973586,-0.08132095885996567,31615128.18749085,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.11344096972297935
2026-03-18,0.0007214298508522177,0.02525004477982762,29435010.15243475,39.47847667747927,0.028480951541306625,32515557.12137098,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.08819092494315173
