,unlevered_ret,static35_ret,static35_equity,static35_notional,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,static35_drawdown,dyn_drawdown
2026-01-01,-0.0005915710000000685,-0.020704985000002396,9792950.149999976,350000000.0,30.0,-0.017747130000002054,9822528.699999979,10000000.0,300000000.0,300000000.0,False,0.0,0.0
2026-01-02,0.0010194630847966124,0.035681207967881434,10142374.44092122,342753255.24999917,30.542033437886584,0.031136475624549142,10128367.625438962,10128367.625438962,300000000.0,300000000.0,False,0.0,0.0
2026-01-05,0.0007962777592724901,0.027869721574537154,10425039.592694396,354983105.43224275,30.0,0.023888332778174703,10370317.44177514,10370317.44177514,303851028.7631689,303851028.7631689,False,0.0,0.0
2026-01-06,0.0009594617080992407,0.033581159783473424,10775124.513005702,364876385.7443039,30.0,0.02878385124297722,10668815.116361648,10668815.116361648,311109523.2532542,311109523.2532542,False,0.0,0.0
2026-01-07,-0.0010204727334334196,-0.035716545670169686,10390274.28623517,377129357.95519954,30.0,-0.030614182003002588,10342198.068632968,10668815.116361648,320064453.49084944,320064453.49084944,False,-0.035716545670169575,-0.030614182003002477
2026-01-08,0.00014847050088473424,0.005196467530965698,10444267.00920142,363659600.018231,30.947430262583975,0.004594780472181225,10389718.198358154,10668815.116361648,320064453.49084944,320064453.49084944,False,-0.03070567800909696,-0.02616006697646045
2026-01-09,0.0021484714625239487,0.0751965011883382,11229639.345770158,365549345.32204974,30.805883988405764,0.06618556262691323,11077367.542851567,11077367.542851567,320064453.49084944,320064453.49084944,False,0.0,0.0
2026-01-12,0.00016179091689583203,0.005662682091354121,11293229.223385815,393037377.10195553,30.0,0.004853727506874961,11131134.06639807,11131134.06639807,332321026.285547,332321026.285547,False,0.0,0.0
2026-01-13,0.0006615404965324423,0.02315391737863548,11554711.719762081,395263022.8185035,29.999999999999996,0.019846214895973265,11352044.945115695,11352044.945115695,333934021.99194205,333934021.99194205,False,0.0,0.0
2026-01-14,-0.0019070853037921331,-0.06674798563272466,10783457.987901127,404414910.19167286,30.0,-0.057212559113763994,10702565.402631158,11352044.945115695,340561348.35347086,340561348.35347086,False,-0.06674798563272466,-0.05721255911376388
2026-01-15,-0.0009999702735350446,-0.03499895957372656,10406048.177717594,377421029.57653946,31.82053419358185,-0.031819588281587284,10362014.177962674,11352044.945115695,340561348.35347086,340561348.35347086,False,-0.09941083515566396,-0.08721166731981533
2026-01-16,-0.000745208725720925,-0.026082305400232375,10134634.451136833,364211686.2201158,32.86632719319733,-0.024492273806769566,10108224.889526384,11352044.945115695,340561348.35347086,340561348.35347086,False,-0.12290027679327409,-0.10956792909144308
2026-01-19,-0.000663345923554215,-0.023217107324397523,9899337.555391252,354712205.78978914,33.69150885298791,-0.022349125056020273,9882314.907375982,11352044.945115695,340561348.35347086,340561348.35347086,False,-0.14326399520116406,-0.12946830679806953
2026-01-20,0.0036460081485780726,0.12761028520023254,11162594.844128102,346476814.4386938,34.46169764325988,0.12564763042115928,11124004.358563473,11352044.945115695,340561348.35347086,340561348.35347086,False,-0.03393566928747693,-0.020088062340727242
2026-01-21,-0.0022498144312218527,-0.07874350509276484,10283613.00017103,390690819.54448354,30.61499594714741,-0.06887805969369078,10357804.522321463,11352044.945115695,340561348.35347086,340561348.35347086,False,-0.11000696083287698,-0.08758249527738271
2026-01-22,0.0012228660873678798,0.042800313057875794,10723754.855944391,359926455.00598603,32.879684842434344,0.04020745155715667,10774265.445891201,11352044.945115695,340561348.35347086,340561348.3534709,False,-0.07191498013719377,-0.050896512656346315
2026-01-23,0.0018185679791677956,0.06364987927087284,11406320.55785569,375331419.9580537,31.608776492818354,0.05748270879051119,11393599.408949032,11393599.408949032,340561348.35347086,340561348.35347086,False,-0.01284248066982041,0.0
2026-01-26,0.007255246759893419,0.25393363659626966,14302769.017294776,399221219.52494913,30.000000000000004,0.2176574027968026,13873500.664808063,13873500.664808063,341807982.268471,341807982.268471,False,0.0,0.0
2026-01-27,0.010192372414599138,0.3567330345109698,19405039.210743826,500596915.6053172,30.0,0.30577117243797414,18115617.22890544,18115617.22890544,416205019.9442419,416205019.9442419,False,0.0,0.0
2026-01-28,-0.003726203068965428,-0.13041710741378998,16874290.12762744,679176372.3760339,30.0,-0.11178609206896284,16090543.173468927,18115617.22890544,543468516.8671632,543468516.8671632,False,-0.1304171074137901,-0.11178609206896284
2026-01-29,-0.0028236808542472236,-0.09882882989865283,15206623.778943632,590600154.4669604,33.775647658884964,-0.09537164963419353,14555961.527504984,18115617.22890544,543468516.8671632,543468516.8671632,False,-0.21635696718797104,-0.19649651769637955
2026-01-30,0.0038081039760600177,0.13328363916210062,17233417.935570173,532231832.26302713,37.3364903335464,0.14218123729130447,16625546.14745027,18115617.22890544,543468516.8671632,543468516.8671632,False,-0.11191017197075848,-0.0822533984145789
2026-02-02,0.0037838180323706005,0.13243363113297102,19515702.0496098,603169627.744956,32.688761743355464,0.12368832614037463,18681932.12159795,18681932.12159795,543468516.8671632,543468516.8671632,False,0.0,0.0
2026-02-03,-0.0039962870885356105,-0.13987004809874637,16786039.865250073,683049571.7363429,30.0,-0.11988861265606832,16442181.197804732,18681932.12159795,560457963.6479385,560457963.6479385,False,-0.13987004809874637,-0.11988861265606832
2026-02-04,0.0022341487726702525,0.07819520704345884,18098627.727953058,587511395.2837526,34.08659452814981,0.07615452332957444,17694327.66942204,18681932.12159795,560457963.6479385,560457963.6479385,False,-0.07261200842554749,-0.05286414947596085
2026-02-05,0.0009650423907572314,0.0337764836765031,18709935.73197337,633451970.4783571,31.674442460816316,0.030567179678288543,18235193.362579778,18681932.12159795,560457963.6479385,560457963.6479385,False,-0.041288103066348114,-0.02391287775324391
2026-02-06,0.0024209387439555474,0.08473285603844416,20295282.02283921,654847750.6190679,30.73496137408927,0.07440745878450994,19592027.7611335,19592027.7611335,560457963.6479385,560457963.6479385,False,0.0,0.0
